arouse	вызывать, пробуждать	Something aroused their interest.
knob	ручка (круглая)	The knob didn't turn. The door was locked.
hectic	беспокойный, напряжённый	My life is extremely hectic at the moment.
irritate	раздражать	You're starting to irritate me.
inherent	свойственный, присущий	The hunting instinct is inherent in cats.
commodity	товар, сырьё	It's our second most vital commodity.
whiz	ловкач, умелец (в области)	My brother is a whiz at graphic design.
delicious	восхитительный (о еде)	Oh, yeah, the sauce is delicious.
invade	вторгаться	What will you do when aliens invade?
whack	удар, сильно бить	The violent whack stunned the pirate.
harness	запрягать, обуздывать	It enabled us to harness the powers of nature.
eyebrow	бровь	Emmy said nothing, just raised her eyebrow.
perennial	многолетний, вечный	Balm mint is a perennial plant.
skim	скользить (легко)	A lone seagull skimmed over the waves.
dope	наркотик, дурман	I've been on dope for about 15 years now.
herd	стадо, пасти	His father also herded cattle.
piss	писать, моча	He thought of the way dogs piss to mark their territory.
kneel	стать на колени (колено)	She kneeled and stroked the heavy brass gong.
residue	остаток	They feed on the residue of the crop.
queer	странный, чудной	We didn't pay attention to her queer activities.
blaze	полыхать, пламя	The blaze was put out in five minutes.
come through	пережить, перенести	Sometimes I wonder how I came through it.
worm	червь	We got a tin can and dug some worms for fishing.
vest	жилет	The salespeople wear vests and hard hats.
arc	дуга	These rusty arcs spoil the view.
bathe	купаться, купать	We bathe here all year round.
fetus	плод, эмбрион	The fetus is well, the heart rate is normal.
flutter	трепетать, развеваться, порхать	The hummingbird hovered, fluttering.
lousy	паршивый	I always do a lousy job.
haze	дымка, туман	The shapes of the buildings loomed in the morning haze.
dumb	тупой	Which of them is dumb and which is dumber?
temper	характер	She had the most terrible temper.
hump	горб	The camel with two humps is the Bactrian camel.
contract	сокращаться	When muscles contract, heat is released.
integral	составной, неотъемлемый	Buddhism is an integral part of our culture.
volatile	изменчивый, нестабильный	The situation in the market remains volatile.
conspicuous	заметный	Unlike vipers, they have a conspicuous yellow collar.
whirl	вихрь, кружиться	The dancer whirled on.
stuffy	душный	It's stuffy in here, isn't it?
refund	возврат, возмещение	Non-residents are entitled to a tax refund.
preside	председательствовать	Mr. Abdus Salam Azad presided over the meeting.
disperse	рассеиваться	The ghost dispersed into a mist.
crane	подъёмный кран	I wonder if this old crane still functions.
forcible	насильственный	You require forcible treatment.
decisive	решающий, решительный	The question of form is not decisive.
infinite	бесконечный	But what if the universe is really infinite?
wind up	заканчивать	It's time to wind up for today. Thanks for coming.
mole	крот	Moles feed on snails, worms, grubs, slugs, and bugs.
hold back	сдерживать	I couldn't hold back the tears.
take down	записать	I took down all that had happened that day.
shimmer	мерцать, переливаться	You can relax here and look at the shimmering water.
wash up	умыться	After waking I washed up in the river.
hang around	зависать, слоняться	We used to hang around together in our teens.
skinny	тощий	The skinny girl on the right is Amanda.
